2026-06-08 21:09:46 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:09:46 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:09:46 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:09:46 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:11:39 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:11:39 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:11:39 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:11:39 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:13:49 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:13:49 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:13:49 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:13:49 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:17:46 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:17:47 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:17:47 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:17:47 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:17:57 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:17:58 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:17:58 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:17:58 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:20:53 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:20:54 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:20:54 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:20:54 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:21:02 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:21:03 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:21:03 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:21:03 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 21:31:47 [info]: ✅ Successfully connected to MongoDB database
2026-06-08 21:31:48 [info]: ℹ️ Seeder: Default user already exists.
2026-06-08 21:31:48 [info]: 🚀 Server running in development mode on port 8080
2026-06-08 21:31:48 [info]: 🔗 Health check available at http://localhost:8080/health
2026-06-08 22:12:57 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 220.000 đ", Type: bill
2026-06-08 22:12:57 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 220.000 đ", Type: bill
2026-06-08 22:12:57 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 220.000 đ", Type: bill
2026-06-08 22:12:57 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã thu tiền 220.000 đ", Type: bill
2026-06-08 22:20:35 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Tạo phòng mới: Rf", Type: room
2026-06-08 22:20:57 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Khách mới: S", Type: member
2026-06-08 22:21:12 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Đã ghi điện nước", Type: meter
2026-06-08 22:21:48 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Bước vào chu kỳ tháng mới, điện nước nối tiếp", Type: room
2026-06-08 22:21:48 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Đã thu tiền 1.038.500 đ", Type: bill
2026-06-08 22:21:49 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Đã thu tiền 1.020.000 đ", Type: bill
2026-06-08 22:21:49 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Đã thu tiền 1.020.000 đ", Type: bill
2026-06-08 22:21:49 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Rf · Đã thu tiền 1.020.000 đ", Type: bill
2026-06-08 22:32:32 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "Tạo phòng mới: P2", Type: room
2026-06-08 22:33:18 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Khách mới: A", Type: member
2026-06-08 22:33:31 [info]: [LogActivity] User: 6a26bd081481b122cb7adda5, Text: "P2 · Đã ghi điện nước", Type: meter
